,Tweet Text,Likes,Time
52,Former Theranos executive Sunny Balwani gets nearly 13 years in prison https://t.co/T5UhVDeGZ3,196,2022-12-07 22:57:59+00:00
53,Animal eye packages sent to embassies in Ukraine from Germany https://t.co/ZmpxdfqYzo,129,2022-12-07 22:45:12+00:00
54,Police release Idaho murder victims' belongings to grieving families https://t.co/5wMtHaBgJ6,91,2022-12-07 22:30:04+00:00
55,New York Times faces first major walkout since 1970s https://t.co/9d6wijNYub,213,2022-12-07 22:29:37+00:00
56,Court ruling paves way for abortion clinic buffer zones in Scotland https://t.co/d2jXh3ViSx,177,2022-12-07 22:15:06+00:00
57,Wordle: The most Googled word globally and in the US in 2022 https://t.co/4XLGigf3Xb,174,2022-12-07 22:07:03+00:00
58,Nigeria Afrobeats star D'banj arrested for youth fund fraud https://t.co/zfyB1mtgaA,164,2022-12-07 22:00:03+00:00
59,"RT @BBCBreaking: Peru's president tries to dissolve parliament, is impeached, and then replaced in a day of political drama https://t.co/lA…",0,2022-12-07 21:45:17+00:00
60,"Nuclear risk is rising, but we are not mad, Russia’s President Vladimir Putin says
https://t.co/lua9MrUCtx",796,2022-12-07 21:45:03+00:00
61,Peru leader dissolves Congress hours before impeachment bid https://t.co/36JRraEBTH,161,2022-12-07 21:30:07+00:00
62,"RT @BBCSounds: What role have conspiracy theories played in the rise of Germany's Reichsbürger movement?

Misinformation &amp; Social Media Cor…",0,2022-12-07 21:26:53+00:00
63,Oldest DNA reveals two-million-year-old lost world https://t.co/S0Cq7qpLlm,456,2022-12-07 21:16:02+00:00
64,UK man jailed for brother's Covid death fraud claim https://t.co/ynRBzF63Kb,114,2022-12-07 21:00:12+00:00
65,"People look to San Francisco for progressive ideas, says mayor https://t.co/Pe0ublkG5T",191,2022-12-07 20:44:04+00:00
66,What you need to know before the World Cup quarter-finals https://t.co/CdrKXZUG6f,75,2022-12-07 20:30:07+00:00
67,Hope and worry in Beijing as key China zero-Covid policies scrapped https://t.co/wTnKwXopu0,129,2022-12-07 20:16:07+00:00
68,'Migrants' flee plane after emergency Barcelona landing following woman faking labour https://t.co/JuM6heyVu7,138,2022-12-07 20:00:12+00:00
69,German 'crackpot' movement turns radical and dangerous https://t.co/ELizMPzrgq,245,2022-12-07 19:35:56+00:00
70,US Supreme Court hears case that could reshape election laws https://t.co/oLZgjHIEge,149,2022-12-07 19:07:11+00:00
71,The good Samaritans helping Indians find jobs in the US after major tech layoffs https://t.co/VWDluESc0R,136,2022-12-07 18:38:41+00:00
72,"Woman whose family died in tower block fire in China blames government for their death

Beijing denies their zero-Covid policy is to blame

https://t.co/LDrUCaMcMP https://t.co/tYAiwp4NQp",332,2022-12-07 18:30:00+00:00
73,"Missing facts over woman's Qatar death, says coroner https://t.co/LOoCM591rI",142,2022-12-07 18:02:51+00:00
74,Kenya looks to criminalise doping in athletics after string of cases https://t.co/5sWsYdeJk4,95,2022-12-07 17:39:54+00:00
75,"What Raphael Warnock's win in means for him, the US Senate and Georgia https://t.co/1AHBycW8vZ",180,2022-12-07 17:16:37+00:00
76,Nigerians warned of TikTok video challenge virus https://t.co/CWyxwMG1TT,111,2022-12-07 17:08:05+00:00
77,Killer of South African anti-apartheid hero Chris Hani freed https://t.co/qp4EyLSSwS,133,2022-12-07 16:57:05+00:00
78,E-cigarette manufacturer Juul Labs agrees thousands of US settlements https://t.co/PhtuwEyYI8,139,2022-12-07 16:35:04+00:00
79,"Polygamous cult leader Samuel Bateman had 20 wives, FBI says https://t.co/FynKqjpuK8",299,2022-12-07 16:19:15+00:00
80,"Iraqi activist jailed over tweet ""insulting"" Iran-backed militia force https://t.co/tBVWxrOXn6",138,2022-12-07 16:05:09+00:00
81,Operating on a baby in the dark after missiles hit Ukrainian capital Kyiv https://t.co/rOrsQ0Gy4s https://t.co/HjunG3Gl97,281,2022-12-07 15:46:52+00:00
82,"Woman whose family died in tower block fire in China blames government for their death

Beijing denies their zero-Covid policy is to blame

https://t.co/LDrUCb3Obp",136,2022-12-07 15:36:39+00:00
83,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year https://t.co/dXbcpyN1jX,5565,2022-12-07 15:34:03+00:00
84,https://t.co/lTc8BUobc4,513,2022-12-07 15:26:28+00:00
85,Elon Musk criticises investigation into offices at Twitter HQ being turned into bedrooms https://t.co/733XntDX08,256,2022-12-07 15:18:07+00:00
86,"What's behind the protests and dissent against the Chinese leader Xi Jinping?

Listen to the latest episode of The Briefing Room @BBCSounds https://t.co/abDw3Bx9Gq",122,2022-12-07 14:58:01+00:00
87,AJ Wavy's rise from TikTok mashups to a record contract with Sony https://t.co/XFjrEnE08V,87,2022-12-07 14:43:02+00:00
88,Taliban conduct first public execution since return to power https://t.co/LNTvQu9Acu,215,2022-12-07 14:34:01+00:00
89,How Russia is rebuilding key bridge to Crimean peninsula after October explosion https://t.co/TEdoxZQulE,157,2022-12-07 14:17:31+00:00
90,Ukraine's President Volodymyr Zelensky named Time Magazine's 2022 Person of the Year,30188,2022-12-07 14:00:04+00:00
91,Nintendo lands Call of Duty in 10-year Microsoft deal https://t.co/3aWLL1MpwD,256,2022-12-07 13:46:04+00:00
92,RT @BBCBreaking: UK's former health secretary Matt Hancock says he will not stand at the next general election https://t.co/vXHJvazgOF,0,2022-12-07 13:41:58+00:00
93,New Zealand places child in anti-vax blood case in custody https://t.co/lXJv2dxFFs,216,2022-12-07 13:30:58+00:00
94,US Senate unanimously passes bill to curb private ownership of big cats https://t.co/DZDLlVaDOv,1097,2022-12-07 13:04:23+00:00
95,"Operating on a baby in the dark after missiles hit Ukrainian capital Kyiv 

https://t.co/rOrsQ0G0eU https://t.co/tAQQCYrVM8",535,2022-12-07 12:33:04+00:00
96,Islamic State members' relatives 'stuck in limbo' in Syrian camps https://t.co/d8Fu7TCLPz,133,2022-12-07 12:03:29+00:00
97,RT @BBCBreaking: Two men arrested after break-in at home of England footballer Raheem Sterling https://t.co/aumvbrHlXH,0,2022-12-07 12:01:57+00:00
98,Germany arrests 25 accused of plotting coup https://t.co/HV72JJcAQ9,754,2022-12-07 11:26:24+00:00
99,Voters in Georgia decide hard-fought run-off election for the final US Senate seat https://t.co/nNG0KMZwmA,236,2022-12-07 11:05:04+00:00
